,Gm#,Date,Unnamed: 2,Tm, ,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
43,43,"Saturday, May 21",boxscore,BOS,,CLE,W,9,1,,26-17,2,1.0,Kelly,Bauer,,3:17,D,37254,+
44,44,"Sunday, May 22",boxscore,BOS,,CLE,W,5,2,,27-17,1,Tied,Porcello,Salazar,Kimbrel,3:23,D,36021,++
45,45,"Tuesday, May 24",boxscore,BOS,,COL,W,8,3,,28-17,1,up 1.0,Price,De La Rosa,,2:55,N,36123,+++
46,46,"Wednesday, May 25",boxscore,BOS,,COL,W,10,3,,29-17,1,up 2.0,Wright,Bettis,,3:09,N,36430,++++
47,47,"Thursday, May 26",boxscore,BOS,,COL,L,2,8,,29-18,1,up 2.0,Gray,Buchholz,,2:51,N,36162,-
48,48,"Friday, May 27",boxscore,BOS,@,TOR,L,5,7,,29-19,1,up 1.0,Biagini,Uehara,Osuna,2:53,N,46470,--
49,49,"Saturday, May 28",boxscore,BOS,@,TOR,L-wo,9,10,,29-20,1,up 1.0,Floyd,Kimbrel,,3:37,D,48154,---
50,50,"Sunday, May 29",boxscore,BOS,@,TOR,W,5,3,11,30-20,1,up 1.0,Buchholz,Floyd,Uehara,4:07,D,47916,+
51,51,"Monday, May 30",boxscore,BOS,@,BAL,W,7,2,,31-20,1,up 2.0,Wright,Wilson,,2:54,D,43926,++
52,52,"Tuesday, May 31",boxscore,BOS,@,BAL,W,6,2,,32-20,1,up 3.0,Rodriguez,Gausman,,2:48,N,17664,+++
53,Gm#,June,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
54,53,"Wednesday, Jun 1",boxscore,BOS,@,BAL,L,9,13,,32-21,1,up 2.0,Brach,Buchholz,Britton,3:58,N,20750,-
